#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000003l:8820161-8828281 -            281 188938at33090        -            183  1.3e-101  335.3   0.0   1   1  2.6e-104  1.6e-101  335.0   0.0     1   183    89   277    89   277 0.96 -
h1tg000010l:6980906-6983745 -            175 188938at33090        -            183   3.6e-35  118.8   0.7   1   2   4.5e-15   2.7e-12   44.2   0.0    56    88     7    39     5    47 0.95 -
h1tg000010l:6980906-6983745 -            175 188938at33090        -            183   3.6e-35  118.8   0.7   2   2   1.2e-23   7.4e-21   72.1   0.2    85   173    89   175    66   175 0.71 -
h1tg000023l:4554124-4555917 -            120 188938at33090        -            183   6.6e-28   95.1   0.2   1   2   5.6e-14   3.4e-11   40.6   0.0    56    88     7    39     5    47 0.95 -
h1tg000023l:4554124-4555917 -            120 188938at33090        -            183   6.6e-28   95.1   0.2   2   2   9.4e-18   5.7e-15   52.9   0.0    79   115    81   119    64   120 0.78 -
h1tg000038l:1851921-1853868 -            157 188938at33090        -            183   3.4e-27   92.8   0.8   1   3   1.5e-14   8.9e-12   42.5   0.0    56    88     7    39     5    47 0.95 -
h1tg000038l:1851921-1853868 -            157 188938at33090        -            183   3.4e-27   92.8   0.8   2   3      0.94   5.7e+02   -2.5   0.0    36    49    80    94    63    98 0.69 -
h1tg000038l:1851921-1853868 -            157 188938at33090        -            183   3.4e-27   92.8   0.8   3   3   2.3e-16   1.4e-13   48.4   0.0   135   173   119   157   108   157 0.91 -
h1tg000049l:6722440-6724385 -            157 188938at33090        -            183   3.4e-27   92.8   0.8   1   3   1.5e-14   8.9e-12   42.5   0.0    56    88     7    39     5    47 0.95 -
h1tg000049l:6722440-6724385 -            157 188938at33090        -            183   3.4e-27   92.8   0.8   2   3      0.94   5.7e+02   -2.5   0.0    36    49    80    94    63    98 0.69 -
h1tg000049l:6722440-6724385 -            157 188938at33090        -            183   3.4e-27   92.8   0.8   3   3   2.3e-16   1.4e-13   48.4   0.0   135   173   119   157   108   157 0.91 -
h1tg000001l:421660-423608   -            157 188938at33090        -            183   1.1e-24   84.5   0.4   1   3   1.5e-14   8.9e-12   42.5   0.0    56    88     7    39     5    47 0.95 -
h1tg000001l:421660-423608   -            157 188938at33090        -            183   1.1e-24   84.5   0.4   2   3         1   6.2e+02   -2.6   0.0    36    49    80    94    65    98 0.70 -
h1tg000001l:421660-423608   -            157 188938at33090        -            183   1.1e-24   84.5   0.4   3   3   9.2e-14   5.6e-11   39.9   0.0   135   173   119   157   108   157 0.91 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/busco_downloads/lineages/viridiplantae_odb10/hmms/188938at33090.hmm
# Target file:     /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap1.p_ctg.fa.busco/run_viridiplantae_odb10/metaeuk_output/initial_results/maternalpaternal.asm.dip.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap1.p_ctg.fa.busco/run_viridiplantae_odb10/hmmer_output/initial_run_results/188938at33090.out --cpu 1 /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/busco_downloads/lineages/viridiplantae_odb10/hmms/188938at33090.hmm /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning/maternalpaternal.asm.dip.hap1.p_ctg.fa.busco/run_viridiplantae_odb10/metaeuk_output/initial_results/maternalpaternal.asm.dip.hap1.p_ctg.fa.modified.fas 
# Current dir:     /work/sablok/grapevineassemblies/assemblyhifiasm/busco_hifiasmtriobinning
# Date:            Thu Apr 18 11:10:10 2024
# [ok]
