#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h2tg000016l:3956290-3961200   -            150 223902at33090        -            107   2.1e-51  169.9   1.1   1   1   2.6e-53   2.5e-51  169.6   1.1     1   107    29   138    29   138 0.97 -
h2tg000016l:3538260-3538523   -             88 223902at33090        -            107   9.5e-19   64.9   0.1   1   1   1.1e-20   1.1e-18   64.7   0.1     6    85     1    78     1    83 0.92 -
h2tg000025l:5589557-5589817   -             87 223902at33090        -            107     3e-17   60.0   0.0   1   1   3.6e-19   3.4e-17   59.9   0.0     6    86     1    78     1    85 0.86 -
h2tg000009l:7732314-7732675   -            114 223902at33090        -            107   3.5e-16   56.6   0.0   1   1   8.6e-18   8.3e-16   55.4   0.0     3    92    19   104    17   107 0.84 -
h2tg000011l:11877902-11878165 -             88 223902at33090        -            107   2.8e-15   53.7   0.0   1   1   3.1e-17   2.9e-15   53.6   0.0    25    92     1    72     1    86 0.87 -
h2tg000011l:2961259-2961570   -            104 223902at33090        -            107   1.7e-13   47.9   0.0   1   1     2e-15   1.9e-13   47.8   0.0     5    89     3    85     1   100 0.93 -
h2tg000006l:10960130-10960450 -            107 223902at33090        -            107   3.8e-13   46.8   0.1   1   1   4.1e-15   3.9e-13   46.8   0.1     3    89     3    87     1   104 0.91 -
h2tg000013l:13875021-13875230 -             70 223902at33090        -            107     1e-12   45.5   0.0   1   1   1.1e-14   1.1e-12   45.4   0.0     4    62    10    68     7    70 0.92 -
h2tg000008l:6203992-6204895   -             71 223902at33090        -            107   1.1e-12   45.3   0.4   1   2   1.9e-11   1.8e-09   35.0   0.2    18    47     5    34     1    36 0.86 -
h2tg000008l:6203992-6204895   -             71 223902at33090        -            107   1.1e-12   45.3   0.4   2   2   0.00087     0.083   10.4   0.0    71    92    35    56    31    71 0.82 -
h2tg000024l:28990273-28991020 -             46 223902at33090        -            107     5e-11   40.0   0.4   1   1   4.2e-12     4e-10   37.1   0.4    31    84     1    45     1    46 0.93 -
h2tg000006l:21560781-21562170 -             65 223902at33090        -            107   1.5e-10   38.5   0.4   1   1   5.7e-10   5.5e-08   30.2   0.4    25    53     1    29     1    65 0.85 -
h2tg000006l:21565232-21565656 -            101 223902at33090        -            107   1.7e-10   38.3   0.0   1   1   1.9e-12   1.9e-10   38.2   0.0    29    92     7    73     1    88 0.80 -
h2tg000002l:3326235-3333959   -            128 223902at33090        -            107   4.4e-10   37.0   0.0   1   1   5.4e-12   5.2e-10   36.8   0.0     3    94    22   110    20   124 0.90 -
