# BUSCO version is: 5.1.2 
# The lineage dataset is: viridiplantae_odb10 (Creation date: 2024-01-08, number of genomes: 57, number of BUSCOs: 425)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at33090	Complete	h1tg000043l	1327250	1388259	-	4569.4	3677	https://v10-1.orthodb.org/?query=2at33090	Midasin AAA lid domain 5
5at33090	Complete	h1tg000033l	7971039	8014543	+	5092.9	3426	https://v10-1.orthodb.org/?query=5at33090	Zinc finger, RING/FYVE/PHD-type
24at33090	Complete	h1tg000003l	7581709	7615104	+	5762.7	3570	https://v10-1.orthodb.org/?query=24at33090	Zinc finger, ZZ-type
255at33090	Complete	h1tg000002l	10459206	10541256	+	3317.8	2279	https://v10-1.orthodb.org/?query=255at33090	Translational activator Gcn1
383at33090	Complete	h1tg000023l	3014402	3029709	-	1779.4	1589	https://v10-1.orthodb.org/?query=383at33090	WD40-repeat-containing domain
1363at33090	Complete	h1tg000021l	2133170	2206725	+	1511.5	1093	https://v10-1.orthodb.org/?query=1363at33090	UDP-glucose:Glycoprotein Glucosyltransferase
1419at33090	Complete	h1tg000022l	8310472	8332528	-	2010.7	1529	https://v10-1.orthodb.org/?query=1419at33090	Zinc finger, RING-type
1557at33090	Complete	h1tg000012l	3422048	3548513	-	1407.7	1010	https://v10-1.orthodb.org/?query=1557at33090	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
1855at33090	Complete	h1tg000003l	989823	998897	-	2338.8	1742	https://v10-1.orthodb.org/?query=1855at33090	Armadillo-type fold
4004at33090	Complete	h1tg000037l	1828159	1847908	+	1664.4	1107	https://v10-1.orthodb.org/?query=4004at33090	WD40/YVTN repeat-like-containing domain superfamily
4034at33090	Complete	h1tg000038l	5003371	5082735	+	1487.6	1022	https://v10-1.orthodb.org/?query=4034at33090	Transcription initiation factor TFIID subunit 2
4115at33090	Complete	h1tg000031l	6724439	6770546	+	1386.6	892	https://v10-1.orthodb.org/?query=4115at33090	Glycoside hydrolase, family 2
5305at33090	Complete	h1tg000031l	6529121	6539398	-	1256.5	831	https://v10-1.orthodb.org/?query=5305at33090	SNF2-related, N-terminal domain
5927at33090	Complete	h1tg000019l	13286057	13312831	+	1324.9	994	https://v10-1.orthodb.org/?query=5927at33090	Armadillo-type fold
6512at33090	Complete	h1tg000008l	2994968	3009120	+	797.8	625	https://v10-1.orthodb.org/?query=6512at33090	Timeless protein
